UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
33.932;1.365;1597.005;112.083;-65.280;1545.278;-36.370;-75.714;1542.109;93.460;44.463;1446.505;-30.909;34.225;1449.576;34.761;69.327;1279.769;48.851;68.937;1115.081;100.041;83.514;1194.890;-22.963;81.076;1176.559;42.659;-111.450;1276.698;33.640;-183.360;1085.585;89.413;-149.916;1204.445;-30.276;-142.408;1214.635;202.813;-84.343;1237.305;199.790;-9.556;1306.193;209.248;49.826;1241.010;262.340;16.186;1156.326;225.386;37.247;984.081;273.066;-15.211;1006.898;274.870;-103.990;949.662;218.755;-247.958;979.060;207.591;-231.821;910.610;240.255;-212.369;949.564;-138.946;-81.223;1241.790;-128.513;-16.625;1310.776;-137.776;53.482;1250.225;-195.792;-31.348;1157.447;-179.119;41.781;989.201;-217.293;-15.698;1014.942;-192.136;-96.921;1014.942;-163.420;-234.697;968.139;-143.237;-214.709;905.199;-177.900;-199.400;941.227;147.088;-155.474;864.831;-118.178;-130.756;868.927;126.807;41.928;941.227;-67.182;55.579;953.172
33.932;2.194;1597.005;112.132;-64.452;1545.278;-36.370;-75.031;1542.158;93.411;45.194;1446.407;-30.958;34.858;1449.527;34.712;69.863;1279.672;48.753;69.424;1115.032;99.944;84.050;1194.792;-23.060;81.564;1176.510;42.610;-110.913;1276.698;33.591;-182.824;1085.683;89.364;-149.380;1204.543;-30.324;-141.872;1214.732;202.764;-83.807;1237.354;199.741;-8.971;1306.193;209.200;50.362;1240.913;262.292;16.674;1156.277;225.337;37.491;983.984;273.017;-14.918;1006.849;274.870;-103.747;949.710;218.755;-247.715;979.255;207.639;-231.626;910.757;240.255;-212.125;949.710;-138.995;-80.735;1241.790;-128.611;-16.089;1310.776;-137.825;54.018;1250.176;-195.890;-30.812;1157.447;-179.265;42.269;989.201;-217.439;-15.162;1014.991;-192.185;-96.336;1015.088;-163.420;-234.210;968.578;-143.090;-214.367;905.589;-177.803;-198.961;941.569;146.942;-155.181;864.929;-118.324;-130.415;868.975;126.709;42.269;941.130;-67.231;55.969;953.123
34.078;2.925;1596.957;112.230;-63.720;1545.230;-36.175;-74.348;1542.256;93.411;45.828;1446.310;-30.909;35.444;1449.527;34.615;70.399;1279.574;48.704;69.814;1114.935;99.846;84.538;1194.646;-23.109;81.954;1176.461;42.561;-110.377;1276.698;33.493;-182.337;1085.683;89.316;-148.892;1204.543;-30.373;-141.384;1214.732;202.667;-83.222;1237.354;199.644;-8.337;1306.096;209.102;50.898;1240.767;262.145;17.064;1156.131;225.288;37.686;983.886;272.920;-14.772;1006.800;274.821;-103.552;949.564;218.560;-247.520;978.865;207.591;-231.431;910.464;240.158;-211.930;949.467;-139.044;-80.248;1241.839;-128.659;-15.552;1310.727;-137.923;54.506;1250.176;-195.890;-30.373;1157.399;-179.216;42.659;989.152;-217.439;-14.723;1014.942;-192.136;-95.849;1015.283;-163.469;-233.820;969.212;-142.749;-214.221;906.320;-177.656;-198.620;942.105;146.893;-154.889;864.978;-118.421;-130.122;869.024;126.612;42.610;941.081;-67.377;56.310;953.026
34.273;3.559;1596.908;112.473;-63.087;1545.181;-35.980;-73.812;1542.353;93.460;46.364;1446.163;-30.909;35.931;1449.527;34.517;70.887;1279.476;48.607;70.253;1114.789;99.798;85.025;1194.500;-23.255;82.344;1176.315;42.513;-109.841;1276.698;33.445;-181.800;1085.683;89.267;-148.356;1204.494;-30.471;-140.896;1214.684;202.569;-82.637;1237.354;199.595;-7.752;1306.047;209.005;51.435;1240.620;262.145;17.454;1156.034;225.337;37.784;983.740;272.871;-14.772;1006.654;274.675;-103.405;949.125;218.219;-247.471;977.695;207.542;-231.090;909.343;239.963;-211.783;948.492;-139.141;-79.906;1241.790;-128.708;-15.162;1310.630;-137.971;54.847;1250.078;-195.841;-30.032;1157.252;-179.070;43.000;988.957;-217.293;-14.333;1014.942;-191.990;-95.312;1015.771;-163.225;-233.430;970.723;-141.677;-214.465;907.929;-176.974;-198.523;943.275;146.796;-154.645;865.026;-118.519;-129.927;869.073;126.466;42.951;940.984;-67.474;56.554;952.928
34.566;4.095;1596.859;112.717;-62.501;1545.035;-35.687;-73.373;1542.451;93.411;46.852;1445.968;-30.909;36.272;1449.576;34.371;71.375;1279.379;48.509;70.692;1114.691;99.651;85.464;1194.402;-23.450;82.685;1176.169;42.415;-109.304;1276.649;33.445;-181.313;1085.683;89.169;-147.868;1204.543;-30.519;-140.311;1214.635;202.423;-82.149;1237.451;199.449;-7.118;1306.047;208.858;51.971;1240.523;262.048;17.746;1155.985;225.386;37.784;983.789;272.725;-14.967;1006.557;274.577;-103.259;948.297;217.634;-247.617;975.355;207.639;-230.505;907.100;239.719;-211.637;946.639;-139.190;-79.663;1241.888;-128.854;-14.821;1310.678;-138.166;55.140;1250.078;-195.841;-29.886;1157.301;-179.021;42.756;988.762;-217.195;-14.480;1014.991;-191.551;-95.117;1016.892;-162.397;-233.430;973.843;-139.190;-215.684;911.391;-175.365;-199.059;945.761;146.747;-154.450;865.075;-118.568;-129.732;869.122;126.368;43.195;940.935;-67.621;56.797;952.879
34.956;4.485;1596.810;112.961;-62.111;1544.888;-35.395;-72.983;1542.695;93.460;47.193;1445.822;-30.861;36.614;1449.722;34.078;71.862;1279.379;48.412;71.180;1114.740;99.505;85.903;1194.402;-23.743;83.173;1176.217;42.269;-108.719;1276.649;33.396;-180.728;1085.683;89.121;-147.381;1204.592;-30.617;-139.678;1214.537;202.228;-81.613;1237.744;199.205;-6.533;1306.242;208.663;52.458;1240.620;261.950;17.844;1156.131;225.386;37.394;983.984;272.579;-15.552;1006.605;274.529;-103.162;946.980;216.464;-248.007;970.918;208.322;-229.676;902.810;239.524;-211.588;943.226;-139.093;-79.663;1242.034;-129.098;-14.577;1310.630;-138.508;55.140;1249.981;-195.695;-30.519;1157.204;-179.558;41.294;988.128;-217.098;-16.040;1015.137;-190.917;-95.849;1019.135;-160.690;-234.502;979.889;-134.851;-219.048;917.972;-172.342;-201.253;950.393;146.601;-154.255;865.173;-118.714;-129.439;869.170;126.271;43.488;940.886;-67.669;57.139;952.831
35.736;4.973;1596.713;113.253;-62.063;1544.596;-35.151;-72.447;1543.182;93.655;46.998;1445.286;-30.666;36.857;1449.820;33.640;72.350;1279.428;48.363;71.765;1114.837;99.261;86.293;1194.597;-23.987;83.612;1176.071;42.025;-108.134;1276.551;33.445;-179.948;1085.537;88.974;-146.796;1204.640;-30.763;-138.946;1214.245;201.887;-81.174;1238.573;198.815;-5.899;1306.924;208.322;52.897;1241.108;261.755;17.649;1156.570;225.288;36.321;984.618;272.140;-17.064;1006.898;274.675;-103.308;944.981;214.757;-249.226;962.874;210.467;-228.360;895.156;239.719;-211.832;937.230;-138.703;-79.760;1241.937;-129.537;-14.333;1310.240;-139.141;54.945;1249.152;-195.695;-32.080;1156.814;-180.484;37.589;986.373;-217.390;-19.452;1015.088;-190.771;-97.799;1023.425;-159.618;-237.330;991.541;-129.293;-225.824;931.136;-169.076;-206.177;959.997;146.454;-153.962;865.173;-118.811;-128.854;869.268;126.271;43.829;940.789;-67.621;57.724;952.782
37.394;5.850;1596.274;113.595;-62.501;1543.913;-34.956;-71.375;1544.352;93.947;45.828;1443.823;-30.324;37.004;1449.917;33.152;73.081;1279.428;48.558;72.447;1114.886;99.213;86.634;1194.939;-24.133;84.245;1175.632;41.343;-107.257;1276.503;33.396;-178.973;1085.488;88.487;-145.869;1204.787;-31.153;-137.923;1213.952;201.058;-81.271;1239.938;198.133;-5.607;1307.997;208.127;52.800;1241.937;261.609;16.332;1157.496;225.434;34.078;985.885;271.604;-20.038;1007.678;275.065;-103.844;941.959;212.710;-251.322;949.662;214.026;-225.922;883.358;240.499;-212.174;927.723;-138.459;-79.224;1242.132;-130.220;-13.261;1309.752;-139.873;55.189;1247.641;-195.695;-34.225;1156.424;-181.215;30.129;983.253;-217.829;-25.644;1014.942;-190.917;-101.309;1030.689;-158.691;-242.352;1011.919;-122.175;-236.404;954.586;-164.834;-214.562;977.549;146.259;-153.524;865.319;-119.006;-128.074;869.317;126.417;44.414;940.740;-67.523;58.552;952.684
39.734;7.215;1595.397;113.790;-63.379;1542.938;-34.810;-69.619;1546.156;94.289;43.585;1441.288;-30.032;36.955;1449.771;32.762;74.056;1279.379;48.997;73.130;1114.886;99.310;86.976;1195.329;-24.084;85.172;1174.999;40.124;-106.233;1276.649;33.006;-177.900;1085.585;87.609;-145.040;1205.079;-31.933;-136.704;1213.855;199.644;-81.661;1241.693;197.158;-5.558;1309.313;207.932;52.312;1242.960;261.414;13.895;1158.715;226.214;30.276;987.592;271.165;-25.157;1008.750;275.650;-105.355;937.815;209.005;-253.272;930.258;218.999;-221.729;867.464;240.938;-212.417;914.413;-138.313;-77.859;1242.863;-131.048;-11.067;1309.216;-140.604;56.164;1245.203;-195.500;-37.247;1156.326;-181.508;17.454;978.962;-218.024;-35.687;1015.186;-190.722;-106.574;1041.464;-157.229;-248.056;1041.903;-113.643;-248.348;989.883;-159.520;-225.239;1004.606;146.162;-152.890;865.465;-119.055;-127.197;869.463;126.514;45.097;940.740;-67.377;59.479;952.636
41.733;8.824;1594.032;113.351;-64.500;1542.012;-35.297;-67.523;1547.911;94.386;40.563;1438.265;-29.934;36.760;1449.040;32.518;75.080;1279.330;49.533;73.861;1114.935;99.505;87.317;1195.914;-23.840;86.391;1174.365;38.564;-105.258;1276.844;32.323;-176.730;1085.634;86.342;-144.407;1205.469;-33.006;-135.534;1213.855;197.645;-82.685;1243.399;196.085;-6.045;1310.532;207.786;51.093;1243.838;261.122;10.433;1159.885;228.067;25.254;989.444;271.067;-32.031;1009.872;276.235;-107.988;933.524;202.715;-253.321;906.223;225.239;-215.635;850.254;240.304;-212.222;899.495;-138.020;-76.152;1244.472;-131.877;-8.044;1308.826;-141.286;57.480;1241.937;-194.915;-41.489;1157.057;-181.167;-1.121;974.867;-218.024;-50.069;1016.746;-190.430;-113.643;1054.871;-154.694;-252.151;1079.101;-104.527;-257.709;1033.956;-153.280;-235.477;1039.319;146.162;-152.110;865.660;-119.055;-126.124;869.609;126.661;45.925;940.789;-67.182;60.551;952.636
42.513;9.799;1592.764;112.035;-65.963;1541.378;-36.565;-65.768;1548.984;94.093;37.491;1435.925;-30.129;36.516;1448.113;32.372;75.957;1279.428;50.069;74.739;1115.179;99.798;87.609;1196.547;-23.645;87.463;1174.072;36.955;-104.478;1276.941;31.446;-175.609;1085.537;84.928;-143.919;1205.713;-34.030;-134.656;1213.904;195.207;-83.855;1244.862;195.012;-6.874;1311.654;207.786;49.582;1244.569;260.878;6.045;1161.006;230.310;19.257;991.346;270.872;-40.173;1010.847;276.479;-110.621;928.698;196.865;-249.226;878.872;230.846;-207.006;832.703;239.231;-210.223;882.626;-137.094;-74.592;1247.348;-132.413;-4.973;1308.875;-141.872;58.601;1238.719;-193.940;-47.681;1159.446;-180.386;-25.254;973.209;-217.536;-68.693;1020.841;-189.357;-122.419;1070.374;-150.842;-252.687;1119.518;-95.459;-261.365;1081.978;-146.113;-242.937;1078.370;146.113;-151.427;865.806;-119.104;-125.003;869.707;127.002;46.608;940.886;-66.841;61.624;952.636
41.976;9.994;1591.789;109.889;-67.669;1541.037;-38.612;-64.695;1549.325;93.265;34.858;1434.511;-30.812;36.224;1447.285;31.982;76.689;1279.623;50.167;75.470;1115.520;99.651;87.902;1197.230;-23.840;88.389;1174.024;35.687;-103.893;1277.088;30.763;-174.585;1085.488;83.758;-143.529;1205.908;-34.712;-134.169;1214.001;192.770;-84.879;1246.178;193.940;-7.508;1312.580;207.591;48.314;1245.008;260.390;1.609;1161.786;232.114;12.383;992.954;270.141;-49.046;1011.529;276.333;-112.132;922.799;193.160;-239.426;850.059;235.673;-195.207;814.031;238.500;-204.714;863.271;-135.680;-73.763;1251.102;-132.608;-2.584;1309.362;-142.993;59.040;1236.184;-192.721;-55.530;1163.834;-179.265;-52.653;975.306;-216.513;-89.657;1028.203;-187.602;-131.828;1086.853;-145.918;-249.080;1158.861;-86.781;-258.391;1128.001;-138.459;-246.106;1117.470;145.967;-150.891;865.904;-119.153;-123.833;869.853;127.392;47.144;941.081;-66.402;62.696;952.733
40.416;9.409;1591.155;107.257;-69.522;1540.891;-41.196;-64.500;1549.179;91.997;32.518;1433.731;-32.031;35.639;1446.505;31.397;77.079;1280.013;49.874;76.347;1116.056;99.115;88.292;1197.961;-24.523;89.023;1174.316;34.468;-103.552;1277.136;30.227;-173.561;1085.293;82.783;-143.285;1206.006;-35.053;-134.217;1214.196;190.332;-85.757;1247.007;192.965;-8.191;1313.165;207.152;46.998;1245.106;259.464;-2.730;1162.128;232.991;5.704;993.832;268.678;-57.187;1011.822;275.601;-111.596;916.997;191.648;-225.093;823.879;238.598;-179.314;796.479;238.110;-194.964;844.306;-134.754;-73.422;1255.197;-132.608;-1.024;1310.240;-144.553;58.943;1234.721;-191.307;-63.623;1169.928;-177.461;-80.881;981.400;-214.514;-111.401;1038.490;-185.164;-141.384;1103.673;-139.970;-242.205;1194.402;-78.297;-250.396;1168.563;-130.268;-245.326;1153.693;145.967;-150.452;866.001;-119.153;-122.809;869.902;127.782;47.632;941.179;-66.012;63.672;952.831
38.271;8.044;1590.716;104.478;-71.618;1540.793;-43.878;-65.183;1548.837;90.340;30.276;1433.341;-33.640;34.566;1445.920;30.763;77.127;1280.452;49.582;76.932;1116.592;98.530;88.341;1198.741;-25.352;89.364;1174.609;33.347;-103.649;1277.136;29.691;-172.830;1085.000;81.856;-143.383;1206.006;-35.346;-134.510;1214.342;187.894;-86.781;1247.494;191.990;-9.214;1313.701;206.616;45.535;1245.301;258.391;-6.582;1162.372;232.552;1.658;994.758;266.631;-62.160;1011.919;274.334;-108.134;912.804;191.648;-208.273;803.939;240.255;-160.885;783.560;238.013;-181.898;829.485;-134.169;-73.568;1259.488;-132.511;0.049;1311.361;-146.162;58.455;1234.039;-189.162;-71.667;1177.144;-174.097;-107.744;990.614;-211.003;-132.218;1050.776;-181.605;-150.208;1119.810;-133.340;-233.235;1224.824;-69.717;-237.866;1203.080;-121.200;-241.133;1185.578;146.016;-149.965;866.050;-119.055;-122.029;869.950;128.074;48.071;941.227;-65.670;64.403;952.831
