UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
4.535;92.265;1596.440;81.390;22.822;1546.455;-67.345;15.946;1542.164;66.175;131.862;1446.291;-58.275;124.547;1448.680;13.947;161.024;1280.146;28.138;163.316;1114.441;78.708;172.972;1194.806;-44.084;178.141;1177.153;13.411;-18.824;1277.269;1.609;-87.047;1085.864;58.177;-56.812;1204.316;-61.493;-42.280;1213.337;176.190;-1.658;1236.891;175.849;73.782;1305.699;186.870;132.886;1242.109;239.049;100.262;1159.841;211.350;129.375;988.186;255.288;73.295;1011.448;245.925;-16.970;969.119;168.680;-145.224;1015.300;165.218;-144.736;944.492;196.769;-122.207;981.018;-166.778;18.872;1238.208;-154.489;81.634;1308.967;-160.146;153.417;1250.058;-222.615;74.563;1156.623;-210.034;155.172;993.161;-247.144;96.605;1018.324;-213.008;21.408;1023.444;-168.534;-113.868;987.796;-159.220;-105.382;920.207;-190.283;-87.632;956.586;118.159;-69.540;870.417;-146.004;-29.698;871.003;108.162;131.228;939.031;-84.706;155.416;948.345
4.681;92.069;1596.440;81.536;22.676;1546.406;-67.199;15.751;1542.164;66.224;131.765;1446.291;-58.226;124.450;1448.729;13.898;161.024;1280.097;28.040;163.267;1114.343;78.610;173.020;1194.709;-44.084;178.043;1177.056;13.411;-18.824;1277.220;1.609;-87.047;1085.815;58.177;-56.763;1204.267;-61.493;-42.280;1213.240;176.190;-1.560;1236.794;175.849;73.831;1305.553;186.821;132.984;1241.963;238.952;100.311;1159.646;210.911;129.229;987.943;254.898;73.197;1011.253;245.389;-17.165;969.265;168.241;-145.126;1016.129;164.486;-144.980;945.273;196.184;-122.304;981.652;-166.778;18.824;1238.110;-154.489;81.536;1308.869;-160.146;153.368;1249.960;-222.713;74.514;1156.574;-210.180;155.172;993.112;-247.339;96.653;1018.324;-213.301;21.506;1023.590;-169.070;-113.965;988.284;-159.464;-105.578;920.744;-190.625;-87.681;957.025;118.159;-69.686;870.417;-146.004;-29.942;870.954;108.113;131.082;939.031;-84.755;155.221;948.345
4.681;91.972;1596.440;81.585;22.676;1546.358;-67.101;15.654;1542.115;66.175;131.765;1446.339;-58.226;124.352;1448.778;13.898;161.024;1280.000;27.991;163.170;1114.246;78.610;172.972;1194.562;-44.084;177.946;1177.007;13.508;-18.775;1277.123;1.658;-86.998;1085.766;58.226;-56.666;1204.169;-61.396;-42.231;1213.191;176.239;-1.463;1236.745;175.898;73.977;1305.504;186.821;133.081;1241.865;238.805;100.262;1159.451;210.472;128.839;987.699;254.459;72.856;1011.057;244.560;-17.702;969.558;167.315;-145.175;1017.348;163.219;-145.419;946.589;195.209;-122.646;982.676;-166.681;18.775;1238.013;-154.441;81.487;1308.772;-160.146;153.319;1249.911;-222.713;74.465;1156.525;-210.326;155.075;993.014;-247.485;96.653;1018.372;-213.496;21.554;1023.932;-169.461;-114.063;989.113;-159.512;-105.870;921.573;-190.820;-87.876;957.708;118.208;-69.784;870.369;-146.004;-30.137;870.905;108.016;130.984;939.031;-84.803;155.026;948.296
4.681;91.972;1596.391;81.585;22.774;1546.309;-67.053;15.605;1542.115;66.175;131.813;1446.291;-58.226;124.304;1448.729;13.898;161.122;1279.902;27.991;163.170;1114.148;78.610;173.020;1194.465;-44.084;177.946;1176.909;13.557;-18.580;1277.025;1.756;-86.900;1085.718;58.324;-56.519;1204.121;-61.347;-42.085;1213.142;176.190;-1.414;1236.794;175.946;74.124;1305.456;186.919;133.179;1241.719;238.805;99.970;1159.256;210.277;127.961;987.406;254.069;71.832;1010.911;243.292;-18.872;970.094;165.754;-145.370;1019.250;160.878;-146.297;948.491;193.307;-123.377;984.139;-166.583;18.775;1238.013;-154.441;81.536;1308.772;-160.146;153.270;1249.863;-222.615;74.368;1156.477;-210.375;154.831;992.868;-247.485;96.410;1018.470;-213.593;21.506;1024.566;-169.704;-114.404;990.673;-158.635;-106.358;923.279;-190.527;-88.217;958.927;118.257;-69.881;870.369;-145.955;-30.381;870.905;107.967;130.887;938.982;-84.901;154.831;948.296
4.730;92.069;1596.294;81.682;22.822;1546.309;-66.955;15.654;1541.969;66.272;131.862;1446.242;-58.129;124.401;1448.631;13.898;161.268;1279.805;27.991;163.267;1114.050;78.659;173.069;1194.319;-44.182;177.946;1176.812;13.557;-18.238;1276.830;1.853;-86.705;1085.620;58.324;-56.227;1204.023;-61.298;-41.695;1212.996;175.995;-1.463;1237.086;175.995;74.270;1305.602;187.016;133.130;1241.719;238.903;99.092;1159.110;210.424;126.157;987.114;253.630;69.637;1010.911;241.146;-21.311;971.167;162.633;-145.809;1021.932;156.489;-147.809;951.368;189.747;-124.840;986.333;-166.583;18.628;1238.208;-154.441;81.536;1308.820;-160.146;153.173;1249.863;-222.469;73.929;1156.477;-210.326;154.002;992.624;-247.242;95.581;1018.665;-213.008;21.213;1026.077;-168.534;-115.038;994.233;-156.538;-107.528;926.888;-188.918;-89.144;961.951;118.257;-69.881;870.369;-145.955;-30.527;870.856;107.870;130.887;938.982;-84.998;154.685;948.247
4.877;92.069;1596.342;81.780;22.871;1546.211;-66.858;15.800;1541.969;66.419;132.057;1446.291;-58.031;124.596;1448.729;13.898;161.512;1279.854;27.991;163.657;1114.099;78.708;173.264;1194.319;-44.377;178.092;1176.812;13.557;-17.799;1276.733;1.902;-86.364;1085.620;58.372;-55.837;1204.023;-61.250;-41.256;1212.898;175.507;-1.560;1237.574;176.044;74.416;1305.699;187.065;132.984;1241.670;239.049;97.239;1158.866;211.106;122.646;986.528;253.045;65.443;1010.911;237.732;-25.846;972.825;156.391;-146.638;1026.467;149.467;-150.686;956.099;183.554;-127.327;990.088;-166.388;18.336;1238.598;-154.538;81.536;1309.015;-160.293;152.929;1249.911;-222.274;72.807;1156.574;-210.375;151.661;991.990;-246.754;93.191;1018.811;-211.789;19.945;1028.857;-165.120;-116.501;1001.353;-152.978;-110.649;933.813;-185.651;-91.679;968.046;118.257;-69.832;870.417;-145.955;-30.527;870.905;107.821;130.984;938.933;-85.096;154.733;948.247
5.218;92.265;1596.342;81.975;23.017;1546.114;-66.663;16.093;1541.920;66.614;132.301;1446.291;-57.787;124.986;1448.778;13.996;161.951;1279.756;27.991;164.048;1114.002;78.854;173.411;1194.172;-44.425;178.482;1176.714;13.508;-17.117;1276.586;1.804;-85.730;1085.523;58.275;-55.349;1203.974;-61.298;-40.524;1212.801;174.483;-1.756;1238.208;176.093;74.563;1305.797;187.260;132.496;1241.280;239.147;94.069;1158.330;212.423;116.208;985.309;252.460;58.129;1011.057;232.953;-33.551;976.629;145.663;-147.857;1034.416;140.835;-156.050;964.340;174.581;-131.667;997.696;-165.852;18.141;1239.329;-154.538;81.975;1309.259;-160.488;152.783;1249.570;-221.981;70.613;1156.769;-211.350;146.248;990.332;-246.461;87.632;1019.153;-209.595;16.629;1033.782;-157.854;-119.183;1014.276;-146.931;-116.599;946.248;-179.604;-96.751;979.457;118.208;-69.540;870.466;-146.053;-30.235;870.905;107.821;131.277;938.933;-85.096;155.075;948.247
5.608;92.508;1596.440;82.268;23.310;1545.968;-66.419;16.580;1541.969;66.955;132.789;1446.388;-57.495;125.669;1449.070;14.093;162.682;1279.658;28.040;164.535;1113.904;79.049;173.752;1193.977;-44.523;178.921;1176.519;13.411;-16.141;1276.489;1.560;-84.755;1085.376;58.080;-54.617;1203.925;-61.396;-39.695;1212.801;173.118;-2.097;1239.476;176.141;75.002;1306.089;187.553;131.911;1240.646;239.049;89.192;1157.501;213.691;105.382;983.407;251.094;46.571;1011.594;226.272;-45.450;982.773;131.375;-149.954;1047.095;129.619;-164.438;977.897;162.780;-138.446;1010.033;-165.023;17.848;1240.695;-154.441;82.658;1309.747;-160.829;152.441;1248.887;-221.347;66.663;1157.257;-212.374;136.446;987.650;-245.632;78.123;1019.640;-205.742;11.314;1041.487;-144.834;-122.597;1035.684;-136.983;-125.084;967.071;-169.412;-104.115;999.012;118.013;-69.101;870.564;-146.199;-29.698;870.905;107.821;131.813;938.982;-85.096;155.660;948.199
6.096;92.996;1596.733;82.511;23.749;1545.919;-66.175;17.458;1542.018;67.443;133.667;1446.778;-57.056;126.888;1449.509;14.142;163.852;1279.463;27.894;165.218;1113.709;79.098;174.435;1193.538;-44.816;179.653;1176.324;13.459;-14.922;1276.586;1.414;-83.682;1085.474;57.885;-53.788;1204.121;-61.298;-38.915;1213.191;171.265;-2.194;1241.426;176.239;76.026;1306.285;187.943;131.131;1239.134;238.366;82.560;1156.135;213.935;89.192;980.872;248.266;30.235;1012.716;217.007;-61.542;991.990;114.258;-153.026;1064.846;114.697;-175.069;997.696;147.906;-147.418;1027.735;-163.365;17.409;1242.938;-154.294;83.779;1310.430;-161.414;152.051;1247.668;-219.787;60.616;1158.037;-212.082;120.792;984.236;-243.340;63.639;1020.323;-199.841;3.170;1050.997;-128.351;-125.474;1062.895;-123.084;-135.422;994.526;-155.465;-112.795;1024.517;117.915;-68.272;870.661;-146.346;-28.918;871.003;107.723;132.594;939.079;-85.145;156.489;948.296
6.876;93.874;1597.074;82.853;24.432;1545.919;-65.882;18.970;1542.115;68.321;134.788;1447.217;-56.276;128.741;1449.997;14.386;165.413;1279.025;27.699;165.901;1113.270;79.195;175.361;1192.807;-45.011;180.725;1175.983;13.557;-13.411;1276.879;1.268;-82.560;1085.815;57.641;-53.008;1204.462;-61.103;-38.281;1213.922;168.827;-2.292;1243.767;176.434;77.391;1306.138;188.333;130.107;1236.598;236.708;74.026;1154.623;212.764;67.784;978.677;243.438;9.509;1015.154;204.621;-80.561;1004.425;94.020;-155.562;1086.790;96.117;-185.261;1022.712;129.765;-156.245;1050.070;-160.780;17.117;1246.108;-154.051;85.632;1311.259;-161.902;151.856;1245.766;-216.861;52.130;1159.451;-210.180;98.799;981.067;-238.708;43.450;1022.127;-191.356;-8.095;1061.530;-108.260;-127.181;1092.301;-105.626;-146.151;1025.541;-138.104;-121.524;1053.093;117.915;-67.248;870.856;-146.443;-28.040;871.149;107.528;133.667;939.177;-85.389;157.415;948.345
