UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
30.474;40.237;1613.246;105.229;-30.721;1564.379;-43.541;-34.517;1565.267;83.286;76.974;1469.160;-30.079;72.930;1475.078;29.438;100.298;1299.088;39.892;105.673;1131.728;92.260;114.006;1213.288;-31.312;115.338;1196.078;32.397;-79.094;1288.831;16.618;-152.419;1098.295;75.347;-119.874;1217.183;-43.443;-109.864;1229.215;191.670;-52.960;1248.002;192.509;16.568;1320.933;202.913;80.721;1260.379;254.689;49.261;1174.825;226.484;76.629;1006.183;269.187;23.176;1026.104;266.425;-61.688;971.666;190.684;-202.815;995.483;192.410;-192.361;925.856;220.320;-173.968;967.030;-148.918;-46.648;1260.724;-135.407;17.456;1329.365;-142.951;88.463;1268.614;-206.414;7.199;1179.510;-190.931;81.609;1014.270;-229.787;26.480;1039.961;-200.102;-51.283;1043.758;-163.169;-194.234;1004.506;-156.019;-179.885;937.444;-185.161;-163.169;973.539;137.823;-130.673;878.764;-128.010;-100.742;889.268;120.811;70.859;955.935;-77.763;88.513;964.959
30.671;40.632;1613.197;105.475;-30.277;1564.280;-43.393;-34.222;1565.365;83.286;77.270;1468.963;-30.079;73.177;1475.078;29.389;100.446;1298.989;39.892;105.821;1131.629;92.260;114.154;1213.189;-31.312;115.436;1195.980;32.348;-78.897;1288.782;16.667;-152.271;1098.246;75.347;-119.726;1217.183;-43.443;-109.617;1229.166;191.670;-52.812;1248.002;192.459;16.766;1320.834;202.864;80.820;1260.281;254.640;49.360;1174.776;226.582;76.333;1006.035;269.433;23.077;1026.104;267.116;-61.688;971.567;191.670;-203.653;994.940;193.840;-192.657;925.314;221.651;-174.313;966.636;-148.869;-46.599;1260.576;-135.407;17.604;1329.167;-143.001;88.463;1268.318;-206.759;7.051;1179.510;-191.720;80.919;1014.073;-230.626;25.937;1040.059;-201.039;-51.825;1043.413;-164.697;-195.073;1003.668;-158.435;-180.526;936.852;-187.134;-163.859;973.145;137.872;-130.870;878.715;-128.010;-100.890;889.268;120.860;70.711;955.886;-77.664;88.414;964.910
30.819;41.125;1613.098;105.623;-29.734;1564.182;-43.196;-33.827;1565.415;83.187;77.763;1468.815;-30.129;73.522;1475.078;29.340;100.742;1298.841;39.942;105.969;1131.432;92.260;114.401;1213.041;-31.362;115.633;1195.733;32.397;-78.552;1288.782;16.766;-152.074;1098.246;75.396;-119.430;1217.183;-43.393;-109.322;1229.067;191.720;-52.565;1248.052;192.410;17.160;1320.785;202.815;81.116;1260.083;254.640;49.459;1174.677;227.174;75.692;1005.838;270.074;22.584;1026.252;268.299;-62.181;971.912;192.509;-204.688;994.694;196.059;-193.544;925.166;223.278;-175.151;966.784;-148.770;-46.500;1260.527;-135.407;17.801;1328.921;-143.198;88.463;1267.825;-207.302;6.558;1179.658;-193.692;79.242;1013.777;-232.401;24.359;1040.454;-202.568;-53.354;1043.610;-166.325;-196.848;1003.372;-162.331;-182.597;936.606;-189.895;-165.782;973.539;137.922;-131.068;878.715;-127.961;-100.988;889.317;120.959;70.563;955.837;-77.566;88.315;964.861
30.770;41.717;1613.049;105.673;-28.995;1564.083;-43.147;-33.383;1565.365;83.039;78.453;1468.815;-30.277;74.015;1475.028;29.340;101.185;1298.644;40.040;106.215;1131.185;92.260;114.746;1212.893;-31.362;115.929;1195.437;32.496;-78.059;1288.733;16.864;-151.778;1098.295;75.495;-119.036;1217.232;-43.295;-108.878;1229.067;191.670;-52.269;1248.101;192.410;17.604;1320.637;202.864;81.363;1259.837;254.837;49.409;1174.628;228.407;74.656;1005.493;271.406;21.795;1026.450;270.124;-63.118;972.652;193.791;-205.675;995.236;199.018;-195.221;925.856;225.497;-176.483;967.622;-148.573;-46.352;1260.675;-135.308;18.146;1328.724;-143.297;88.463;1267.233;-208.239;5.720;1180.151;-196.700;76.530;1013.432;-234.965;21.894;1041.243;-204.491;-55.622;1044.349;-167.410;-199.018;1004.358;-168.051;-186.394;937.444;-193.396;-168.938;975.561;137.922;-131.117;878.764;-127.912;-101.037;889.317;121.058;70.514;955.788;-77.467;88.266;964.811
30.671;42.555;1612.950;105.623;-28.206;1564.083;-43.147;-32.644;1565.316;82.940;79.144;1468.667;-30.375;74.656;1474.880;29.389;101.728;1298.398;40.139;106.610;1130.939;92.309;115.288;1212.696;-31.362;116.324;1195.141;32.545;-77.516;1288.634;16.914;-151.433;1098.295;75.495;-118.444;1217.183;-43.245;-108.335;1229.018;191.720;-51.776;1248.101;192.361;18.196;1320.390;202.864;81.658;1259.442;255.182;49.212;1174.529;230.478;72.782;1005.000;273.329;20.217;1026.992;272.885;-65.139;974.427;195.270;-207.055;996.962;203.899;-198.278;927.730;228.505;-178.702;970.038;-148.425;-45.957;1260.922;-135.111;18.689;1328.625;-143.395;88.562;1266.592;-209.324;4.783;1180.890;-200.004;72.684;1013.086;-238.022;18.787;1042.574;-207.252;-58.729;1046.223;-169.628;-202.223;1007.564;-176.088;-191.966;940.600;-198.525;-173.376;979.851;137.971;-131.068;878.814;-127.813;-100.988;889.317;121.107;70.613;955.738;-77.418;88.414;964.713
30.622;43.541;1612.802;105.525;-27.318;1564.083;-43.245;-31.657;1565.267;82.990;79.883;1468.470;-30.326;75.445;1474.634;29.537;102.418;1298.200;40.237;107.399;1130.791;92.457;115.831;1212.400;-31.312;117.014;1194.895;32.644;-76.777;1288.388;16.914;-150.841;1098.246;75.544;-117.606;1216.937;-43.245;-107.497;1228.919;191.572;-51.184;1248.199;192.163;18.837;1320.045;202.962;82.151;1258.851;255.676;48.522;1174.234;234.373;67.901;1004.211;276.978;16.075;1028.521;277.816;-70.416;979.259;195.517;-210.014;1001.351;213.663;-205.970;933.598;232.943;-184.224;977.139;-148.277;-45.415;1261.612;-134.766;19.527;1328.625;-143.445;88.660;1265.803;-210.803;3.353;1182.320;-205.379;66.076;1012.939;-242.855;13.265;1044.990;-211.395;-64.054;1050.069;-172.439;-207.844;1014.171;-184.964;-201.089;947.849;-204.392;-180.822;987.593;137.971;-130.624;878.912;-127.813;-100.643;889.366;121.156;71.007;955.738;-77.418;88.808;964.713
30.721;44.577;1612.654;105.475;-26.480;1563.935;-43.295;-30.474;1565.069;83.236;80.771;1468.322;-30.079;76.629;1474.486;29.685;103.651;1297.757;40.237;108.779;1130.446;92.605;116.669;1211.710;-31.411;118.198;1194.402;32.644;-75.445;1288.042;16.815;-149.658;1098.049;75.495;-116.225;1216.641;-43.245;-106.166;1228.771;190.783;-50.790;1248.742;191.868;20.069;1319.552;203.110;82.546;1257.371;256.514;45.662;1173.593;243.446;56.855;1002.583;284.522;6.312;1031.775;286.741;-82.595;990.157;196.848;-217.213;1014.073;228.851;-222.785;951.547;240.093;-195.862;994.546;-147.833;-45.021;1263.190;-134.273;20.908;1328.625;-143.691;88.513;1264.225;-213.170;-0.099;1184.786;-215.833;53.601;1013.086;-251.139;2.268;1049.626;-217.361;-74.163;1057.762;-173.820;-217.558;1027.534;-195.073;-217.361;963.086;-210.408;-194.136;1002.978;137.922;-129.736;879.060;-127.862;-99.854;889.415;121.058;71.993;955.689;-77.467;89.647;964.663
31.066;45.464;1612.753;105.623;-25.592;1563.639;-43.196;-29.093;1564.823;83.680;82.201;1468.618;-29.685;78.453;1474.782;29.685;105.673;1296.820;40.188;110.505;1129.755;92.605;117.803;1210.428;-31.805;119.825;1193.514;32.693;-73.423;1287.993;16.618;-147.833;1098.098;75.297;-114.302;1216.641;-43.147;-104.193;1228.919;189.994;-50.198;1251.158;191.374;22.338;1319.749;203.258;82.645;1254.955;258.240;40.632;1174.184;257.599;38.314;1002.238;296.357;-9.714;1038.580;298.083;-101.974;1009.437;200.053;-228.604;1040.947;243.446;-246.356;988.185;247.638;-212.184;1026.548;-146.946;-45.070;1266.395;-133.582;22.929;1328.921;-144.086;87.724;1261.760;-216.671;-6.608;1189.717;-230.478;34.074;1015.010;-261.938;-15.040;1057.515;-224.610;-88.808;1071.569;-175.447;-231.612;1052.732;-200.941;-239.896;990.305;-214.945;-213.022;1028.373;137.725;-128.454;879.208;-128.060;-98.621;889.514;120.860;73.325;955.640;-77.714;91.027;964.466
31.460;46.451;1613.345;105.870;-24.310;1563.590;-42.950;-27.614;1564.872;84.025;84.321;1469.505;-29.389;80.672;1475.768;29.340;107.990;1295.981;40.237;112.034;1129.262;92.457;119.085;1209.392;-32.594;121.107;1192.676;32.841;-71.254;1288.486;16.519;-146.107;1098.690;75.100;-112.330;1217.282;-42.703;-102.566;1229.609;189.303;-49.557;1256.237;190.339;25.395;1321.179;203.357;82.546;1252.983;261.741;34.517;1177.488;272.934;13.067;1006.035;309.276;-29.882;1050.661;308.882;-124.213;1038.580;203.406;-239.304;1085.129;251.385;-268.792;1042.525;253.062;-227.421;1073.147;-145.713;-45.662;1271.277;-132.843;24.853;1329.809;-144.628;86.244;1259.442;-219.876;-15.188;1196.867;-244.679;8.580;1019.842;-272.096;-36.490;1069.251;-229.985;-104.095;1092.181;-173.573;-244.630;1092.181;-202.321;-264.403;1033.698;-215.537;-232.450;1067.871;137.379;-127.123;879.455;-128.405;-97.241;889.810;120.564;74.755;955.788;-77.960;92.408;964.614
31.657;47.782;1614.084;106.067;-22.387;1563.639;-42.703;-26.036;1565.168;83.828;86.935;1470.442;-29.537;82.940;1476.853;28.945;110.209;1295.340;40.040;113.168;1129.016;92.162;120.269;1208.504;-33.235;122.290;1192.183;32.841;-69.331;1289.275;16.470;-144.875;1099.528;74.804;-110.505;1218.219;-42.259;-101.481;1230.694;188.120;-49.360;1262.894;188.958;28.452;1323.102;203.110;81.609;1250.912;265.340;26.332;1182.271;287.234;-17.111;1014.763;320.716;-52.861;1067.427;315.982;-146.157;1074.232;202.124;-243.644;1137.497;250.991;-283.832;1106.185;252.914;-236.790;1126.895;-144.431;-46.155;1277.342;-132.103;26.973;1331.140;-145.368;84.962;1258.062;-222.292;-23.669;1205.694;-256.218;-21.302;1028.126;-280.084;-59.764;1084.735;-232.598;-117.704;1117.674;-166.522;-250.695;1142.182;-195.862;-283.339;1090.159;-210.014;-246.356;1118.019;137.133;-125.890;879.751;-128.701;-96.205;890.106;120.170;75.889;956.083;-78.355;93.444;964.959
31.411;49.459;1614.627;106.116;-20.069;1563.689;-42.654;-24.409;1565.316;83.286;89.745;1471.231;-30.030;85.209;1477.691;28.354;112.132;1294.206;39.695;114.203;1128.375;91.619;121.205;1207.272;-34.222;122.783;1191.492;32.742;-67.703;1290.015;16.273;-144.135;1100.514;74.360;-109.124;1219.156;-41.815;-100.840;1231.828;186.493;-49.311;1268.959;187.430;31.214;1324.483;203.110;79.785;1248.347;268.496;16.716;1187.893;298.132;-49.902;1027.781;328.852;-77.171;1087.052;318.349;-164.895;1111.954;196.355;-239.847;1188.632;243.594;-288.714;1169.302;247.737;-238.318;1179.460;-142.951;-46.401;1283.999;-131.265;29.093;1332.570;-146.502;84.025;1257.026;-223.229;-31.657;1215.408;-263.023;-53.699;1040.059;-284.522;-83.434;1102.733;-232.154;-128.750;1144.302;-155.427;-247.293;1193.810;-182.942;-292.215;1150.762;-199.461;-251.435;1170.930;137.034;-125.002;879.997;-128.849;-95.663;890.303;119.677;76.777;956.379;-78.848;93.986;965.107
31.115;51.086;1615.070;105.969;-17.900;1563.590;-42.752;-22.584;1565.168;82.990;92.605;1471.971;-30.375;87.773;1478.431;27.811;113.612;1292.628;39.054;115.091;1127.635;91.077;121.255;1205.694;-35.701;122.635;1190.901;32.594;-66.224;1290.508;15.977;-143.790;1101.402;73.867;-107.941;1219.846;-41.618;-100.199;1232.815;184.668;-49.261;1274.729;186.148;33.581;1325.173;203.653;78.552;1246.967;269.877;7.101;1193.070;304.099;-81.806;1043.560;332.945;-100.051;1107.171;316.771;-179.491;1147.113;188.860;-230.182;1232.765;232.401;-285.163;1224.432;239.847;-233.930;1224.876;-141.571;-46.549;1290.755;-130.525;30.819;1334.049;-147.883;83.236;1256.730;-222.785;-39.005;1224.777;-264.256;-85.751;1054.359;-284.917;-105.919;1121.077;-228.752;-137.675;1168.760;-143.740;-237.135;1239.570;-167.114;-291.475;1206.384;-187.035;-248.969;1218.613;136.985;-124.361;880.244;-128.898;-95.564;890.402;119.184;77.418;956.429;-79.390;94.233;965.058
31.214;52.713;1615.514;106.018;-15.878;1563.393;-42.703;-20.513;1565.020;82.990;95.367;1472.711;-30.375;90.584;1479.170;27.466;114.844;1291.050;38.462;115.584;1127.191;90.633;120.762;1204.264;-37.279;122.241;1190.407;32.594;-64.893;1290.952;15.829;-143.592;1102.289;73.571;-106.807;1220.536;-41.273;-99.755;1233.751;182.548;-48.867;1280.251;185.112;35.504;1325.765;204.343;77.714;1246.375;269.778;-1.430;1198.001;304.345;-109.272;1059.981;332.699;-119.332;1125.712;312.481;-189.353;1176.896;181.364;-219.038;1267.332;221.947;-276.928;1268.663;231.809;-226.484;1261.119;-138.711;-46.352;1296.425;-129.687;32.052;1335.430;-149.115;82.497;1256.977;-220.813;-46.056;1233.308;-260.261;-113.710;1069.202;-281.613;-125.397;1137.645;-223.673;-144.529;1188.928;-134.026;-223.870;1276.109;-152.271;-284.374;1251.799;-175.595;-242.164;1257.075;136.985;-124.016;880.540;-128.898;-95.909;890.550;118.740;77.763;956.379;-79.883;94.035;964.910
31.608;54.587;1615.711;106.314;-13.659;1563.048;-42.407;-18.442;1565.020;82.990;98.079;1473.056;-30.375;93.148;1479.762;26.973;115.929;1289.818;37.920;115.781;1126.994;90.238;120.614;1203.130;-38.561;121.994;1189.816;32.496;-63.808;1291.396;15.878;-143.790;1103.128;73.374;-106.215;1221.276;-40.731;-99.657;1234.639;180.428;-48.522;1284.492;184.175;37.082;1326.357;204.738;77.220;1246.276;268.891;-8.186;1202.390;300.647;-130.131;1074.429;329.346;-133.977;1140.554;307.156;-195.319;1199.234;175.398;-208.091;1292.776;213.367;-267.214;1300.863;225.202;-218.347;1287.451;-136.147;-45.908;1300.913;-128.997;33.038;1336.367;-150.101;82.053;1257.174;-218.199;-51.480;1240.014;-253.407;-135.210;1082.220;-276.386;-140.437;1150.811;-218.199;-149.165;1203.820;-126.580;-210.704;1302.392;-139.746;-274.857;1284.837;-166.078;-234.028;1284.837;137.034;-124.115;880.737;-128.849;-96.649;890.698;118.247;77.714;956.330;-80.376;93.542;964.811
32.003;56.806;1615.662;106.757;-11.144;1562.703;-41.914;-16.371;1565.020;82.940;100.594;1472.859;-30.375;95.367;1479.861;26.677;116.669;1288.733;37.624;115.584;1126.797;89.992;120.515;1202.143;-39.350;121.847;1189.175;32.446;-62.920;1291.642;15.927;-144.184;1103.867;73.128;-105.821;1221.917;-40.336;-99.607;1235.329;178.998;-48.324;1287.796;183.583;38.265;1326.554;204.935;76.875;1246.030;267.609;-13.018;1205.201;296.110;-144.529;1085.031;325.697;-144.184;1150.860;302.225;-198.771;1214.126;171.206;-198.031;1309.739;206.118;-258.437;1321.771;220.172;-211.197;1304.709;-134.371;-45.563;1303.723;-128.651;33.778;1336.761;-150.792;81.757;1257.075;-215.685;-55.080;1244.008;-246.060;-149.904;1091.540;-270.814;-150.841;1159.539;-213.219;-152.074;1213.288;-121.156;-199.905;1318.763;-130.525;-265.833;1306.287;-159.076;-226.632;1302.589;136.985;-124.559;880.786;-128.849;-97.438;890.796;117.902;77.319;956.231;-80.721;92.852;964.762
