UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
25.336;27.484;1598.149;101.590;-37.639;1542.399;-47.060;-46.719;1542.692;81.477;75.619;1447.839;-42.764;66.099;1454.087;24.018;107.253;1281.175;38.713;111.402;1113.876;87.726;121.410;1195.206;-32.659;124.974;1177.437;27.875;-71.225;1275.072;17.086;-137.324;1083.170;72.836;-107.643;1202.383;-46.230;-94.951;1211.756;190.048;-51.356;1234.700;188.876;23.921;1304.265;196.687;84.650;1241.681;248.629;53.553;1157.958;210.356;81.379;986.803;261.224;29.925;1008.966;254.975;-62.047;979.236;187.070;-188.290;1049.095;180.479;-197.517;979.871;211.576;-167.543;1010.187;-153.044;-39.152;1239.191;-141.913;25.776;1308.024;-148.357;97.147;1248.564;-207.183;15.719;1154.883;-180.528;86.798;986.169;-226.368;38.273;1016.729;-205.425;-33.587;1038.160;-195.906;-184.434;1031.667;-175.061;-183.262;965.665;-207.085;-157.145;993.833;132.589;-118.530;868.127;-133.126;-84.113;869.006;118.969;81.135;939.401;-74.740;101.932;948.872
25.581;26.996;1598.197;101.785;-38.029;1542.350;-46.816;-47.158;1542.643;81.623;75.277;1447.936;-42.569;65.758;1454.185;24.214;107.057;1281.175;38.761;111.256;1113.876;87.872;121.263;1195.206;-32.513;124.778;1177.486;28.070;-71.420;1275.072;17.233;-137.471;1083.170;73.031;-107.839;1202.334;-46.035;-95.146;1211.756;190.194;-51.503;1234.700;189.023;23.774;1304.217;196.882;84.504;1241.681;248.824;53.358;1157.958;210.454;81.135;986.754;261.371;29.779;1008.918;255.415;-62.145;978.944;187.851;-188.876;1048.411;181.358;-197.907;979.090;212.357;-167.884;1009.552;-152.897;-39.396;1239.240;-141.767;25.532;1308.073;-148.211;96.903;1248.564;-207.134;15.475;1154.932;-180.577;86.554;986.217;-226.417;38.127;1016.875;-205.621;-33.733;1038.355;-196.541;-184.580;1032.057;-175.549;-183.506;966.007;-207.573;-157.340;994.175;132.784;-118.627;868.127;-132.931;-84.211;869.006;119.115;81.038;939.450;-74.594;101.785;948.921
25.971;26.508;1598.197;102.176;-38.371;1542.252;-46.328;-47.646;1542.643;81.819;75.033;1447.936;-42.374;65.367;1454.283;24.311;106.862;1281.223;39.054;111.061;1113.876;88.019;121.166;1195.206;-32.464;124.534;1177.486;28.266;-71.567;1275.072;17.526;-137.666;1083.170;73.227;-107.936;1202.334;-45.840;-95.292;1211.707;190.389;-51.503;1234.749;189.218;23.725;1304.217;196.980;84.455;1241.632;248.922;53.260;1157.861;210.307;80.793;986.706;261.322;29.584;1008.820;256.001;-62.194;978.358;189.023;-189.804;1046.996;182.920;-198.493;977.625;213.578;-168.421;1008.332;-152.751;-39.738;1239.191;-141.523;25.190;1308.024;-148.016;96.562;1248.613;-207.036;15.182;1154.981;-180.724;86.261;986.217;-226.612;38.029;1017.119;-205.962;-33.684;1038.794;-197.468;-184.434;1033.180;-175.988;-183.848;967.276;-208.110;-157.437;995.151;133.029;-118.774;868.078;-132.687;-84.406;869.006;119.311;80.891;939.450;-74.398;101.590;948.969
26.508;26.313;1598.051;102.713;-38.566;1542.155;-45.791;-47.988;1542.643;82.258;74.691;1447.790;-41.886;64.928;1454.185;24.507;106.667;1281.223;39.250;110.963;1113.876;88.165;120.971;1195.158;-32.366;124.388;1177.388;28.510;-71.713;1275.024;17.916;-137.764;1083.121;73.520;-108.083;1202.334;-45.547;-95.341;1211.560;190.682;-51.503;1234.993;189.364;23.872;1304.314;197.175;84.308;1241.583;248.678;53.065;1158.056;210.014;80.305;986.901;261.273;29.486;1008.966;257.172;-62.145;977.186;191.073;-191.659;1043.676;185.947;-199.372;974.208;215.824;-169.398;1005.549;-152.556;-39.933;1239.045;-141.376;24.799;1307.829;-147.918;96.073;1248.467;-207.232;14.694;1154.981;-181.456;85.236;985.924;-227.345;37.394;1017.558;-207.085;-33.782;1040.112;-200.299;-184.727;1036.402;-177.160;-184.873;970.889;-209.965;-158.072;997.885;133.175;-118.871;868.078;-132.492;-84.504;869.006;119.506;80.745;939.499;-74.203;101.492;948.969
27.729;26.801;1597.856;103.591;-38.615;1542.057;-44.912;-47.500;1542.887;83.381;74.350;1447.253;-40.812;64.977;1453.892;24.848;106.618;1281.321;39.591;110.768;1113.876;88.507;120.824;1195.206;-32.073;124.485;1177.241;28.754;-71.762;1275.121;18.258;-137.861;1083.170;73.813;-108.327;1202.529;-45.205;-95.097;1211.414;191.122;-51.698;1235.676;189.560;24.067;1304.656;197.370;84.308;1241.876;248.580;52.772;1158.691;210.258;79.622;987.780;261.712;29.193;1009.699;259.955;-61.803;975.038;194.441;-195.076;1036.012;192.489;-200.544;966.251;220.461;-171.058;999.496;-152.165;-39.591;1239.289;-140.937;24.897;1307.683;-147.772;95.878;1247.978;-208.110;13.669;1155.566;-184.287;80.696;984.948;-230.274;34.221;1018.437;-211.137;-36.125;1043.041;-208.354;-187.509;1043.285;-179.845;-188.827;979.725;-214.945;-161.587;1003.792;133.273;-118.969;868.176;-132.345;-84.406;869.055;119.750;80.696;939.694;-73.959;101.492;949.018
29.779;28.266;1597.563;105.007;-37.980;1541.862;-43.545;-46.035;1543.570;84.992;74.350;1446.374;-39.201;65.758;1453.648;25.629;106.911;1281.370;40.421;110.670;1113.827;89.483;120.775;1195.304;-31.243;124.778;1176.997;29.291;-71.567;1275.414;18.551;-137.715;1083.511;74.203;-108.424;1202.871;-44.619;-94.511;1211.658;191.903;-51.942;1236.555;190.048;24.116;1305.291;198.103;84.064;1242.218;249.410;52.284;1159.569;211.674;78.255;989.049;263.226;28.070;1010.724;264.739;-61.559;970.889;199.567;-200.690;1021.464;203.033;-201.666;951.606;227.833;-173.645;988.072;-151.384;-39.298;1240.705;-140.009;25.825;1307.976;-147.235;95.781;1246.856;-209.184;11.033;1157.177;-188.925;69.224;982.947;-235.107;26.069;1020.195;-218.020;-42.716;1048.948;-223.195;-194.295;1057.052;-188.339;-199.177;996.713;-225.782;-170.325;1016.436;133.224;-118.969;868.127;-132.296;-83.967;869.201;120.141;80.647;939.792;-73.568;101.785;949.165
32.464;30.609;1597.172;106.813;-36.711;1541.618;-41.739;-43.643;1544.351;86.993;74.887;1445.202;-37.199;67.222;1453.355;26.801;107.643;1281.321;41.690;110.963;1113.681;90.850;121.019;1195.402;-30.267;125.364;1176.753;30.023;-71.079;1275.951;18.795;-137.129;1083.999;74.740;-108.083;1203.261;-43.985;-93.877;1212.293;192.635;-52.235;1237.678;190.829;24.165;1305.974;199.274;83.430;1242.267;250.484;51.308;1160.595;214.994;75.619;990.318;265.959;25.044;1011.993;271.036;-62.096;964.396;205.523;-207.964;998.080;215.677;-201.422;929.101;236.718;-176.916;969.766;-150.603;-38.908;1244.122;-138.594;27.631;1309.050;-146.356;95.390;1244.903;-210.844;6.639;1160.497;-194.002;49.160;981.287;-241.014;12.058;1023.514;-227.491;-53.797;1058.663;-241.697;-203.717;1080.973;-201.959;-215.628;1024.735;-240.623;-183.897;1038.697;133.224;-118.823;868.225;-132.199;-83.088;869.494;120.775;80.891;939.694;-72.836;102.566;949.213
35.735;33.782;1596.782;109.059;-34.709;1541.227;-39.445;-40.519;1545.425;89.190;76.058;1443.884;-34.954;69.370;1453.209;28.168;108.864;1281.175;42.813;111.646;1113.534;92.363;121.508;1195.255;-29.535;126.194;1176.558;30.755;-70.395;1276.781;18.892;-136.495;1084.683;75.228;-107.643;1203.847;-43.253;-93.340;1213.464;193.172;-52.723;1238.752;191.610;24.262;1306.267;200.592;82.795;1242.023;251.949;49.501;1161.229;219.583;71.567;991.246;269.328;19.918;1012.823;277.822;-63.512;955.023;211.967;-214.896;965.763;228.126;-197.517;899.712;245.749;-179.210;944.429;-149.724;-38.517;1249.638;-136.983;30.121;1310.953;-145.721;94.658;1242.657;-212.455;0.293;1165.623;-198.591;21.626;982.214;-246.383;-7.030;1029.714;-235.936;-67.515;1073.504;-258.686;-211.772;1115.536;-216.458;-233.544;1064.521;-255.024;-198.542;1071.649;133.175;-118.481;868.371;-132.052;-81.916;869.836;121.508;81.330;939.548;-72.055;103.689;949.165
39.738;37.541;1596.294;111.890;-32.073;1540.544;-36.613;-36.857;1546.792;91.436;77.620;1442.176;-32.610;71.860;1453.257;29.779;110.133;1280.931;43.643;112.232;1113.193;93.828;121.703;1194.767;-28.900;127.073;1176.460;31.243;-69.712;1277.611;18.600;-135.909;1085.415;75.424;-107.302;1204.433;-42.764;-93.193;1214.929;193.221;-53.700;1239.387;192.537;23.970;1306.072;201.959;81.672;1241.242;253.462;46.279;1161.034;224.367;66.490;991.880;272.843;13.230;1012.628;283.973;-64.684;943.599;217.874;-218.118;926.513;239.549;-187.753;866.663;253.853;-178.234;914.553;-148.650;-37.931;1256.863;-135.079;33.294;1313.638;-145.428;94.511;1241.388;-213.578;-7.616;1173.141;-202.838;-10.691;988.121;-250.728;-30.023;1039.917;-241.648;-81.721;1092.591;-269.230;-216.263;1157.275;-225.343;-247.946;1114.462;-263.665;-211.088;1112.851;133.175;-118.188;868.469;-131.906;-80.842;870.080;122.191;81.721;939.450;-71.323;104.665;949.165
44.571;41.446;1595.659;115.308;-29.193;1539.470;-33.050;-33.098;1548.452;93.730;79.378;1440.174;-30.121;74.496;1453.550;31.487;111.256;1280.686;44.375;112.672;1112.997;95.341;121.605;1194.328;-28.314;127.756;1176.656;31.585;-69.272;1278.587;17.916;-135.762;1086.343;75.228;-107.302;1205.116;-42.374;-93.242;1216.589;192.879;-55.359;1239.875;193.514;23.140;1305.632;203.375;79.964;1240.363;254.731;41.886;1160.448;228.663;60.388;992.857;275.577;4.882;1011.603;288.806;-64.537;931.151;222.902;-213.822;882.480;249.508;-171.399;832.588;260.345;-171.985;881.845;-147.332;-37.199;1265.114;-132.736;36.467;1316.763;-145.087;94.804;1241.535;-213.920;-16.208;1183.344;-206.890;-44.864;1000.033;-254.292;-55.311;1055.002;-244.382;-95.927;1114.950;-270.695;-216.214;1202.676;-224.757;-255.512;1171.237;-263.519;-220.022;1159.423;133.175;-118.041;868.615;-131.710;-80.012;870.275;122.728;81.867;939.499;-70.688;105.349;949.262
50.282;45.205;1594.878;119.408;-26.410;1537.956;-28.656;-29.632;1550.405;95.976;80.940;1437.831;-27.484;76.693;1454.087;33.001;111.842;1280.735;44.912;112.769;1113.095;96.415;121.117;1194.132;-28.168;128.000;1177.095;31.878;-69.419;1279.564;17.184;-135.860;1087.124;74.935;-108.034;1205.800;-42.032;-93.730;1218.102;192.147;-57.556;1240.314;194.441;21.773;1305.242;204.595;77.718;1239.631;255.708;36.369;1159.716;232.178;53.748;993.735;277.236;-4.150;1010.382;292.077;-61.657;919.532;227.882;-198.493;838.007;257.709;-146.649;800.319;265.764;-157.633;848.942;-145.087;-37.004;1273.022;-130.344;38.566;1319.789;-145.233;94.267;1242.267;-213.724;-24.897;1194.962;-210.649;-77.181;1016.094;-256.977;-79.671;1073.260;-244.724;-107.741;1138.529;-264.690;-208.891;1247.197;-216.849;-252.632;1226.010;-256.684;-221.828;1206.337;133.029;-118.188;868.664;-131.662;-79.378;870.470;123.265;81.672;939.645;-70.054;105.837;949.360
56.677;48.720;1593.706;124.193;-23.921;1536.199;-23.530;-26.703;1552.650;98.270;81.770;1435.000;-24.751;78.060;1454.575;33.977;111.305;1281.077;45.205;112.525;1113.339;97.050;120.287;1194.279;-28.266;127.268;1177.974;32.269;-70.444;1280.345;16.549;-136.446;1087.710;74.740;-109.401;1206.288;-41.544;-94.999;1219.371;191.268;-59.997;1240.314;195.320;19.918;1304.754;205.425;75.082;1238.947;256.489;30.609;1158.837;233.837;47.939;994.126;277.334;-11.521;1008.966;294.127;-54.139;910.257;234.472;-172.132;799.489;264.544;-113.550;773.958;271.378;-133.858;820.188;-142.890;-37.931;1279.759;-128.293;38.664;1322.621;-145.428;92.656;1243.829;-213.285;-31.780;1205.165;-212.357;-101.297;1031.618;-258.197;-96.610;1089.565;-242.478;-112.135;1157.129;-255.171;-192.879;1282.200;-205.718;-237.206;1266.041;-248.141;-212.406;1243.487;132.833;-118.578;868.615;-131.710;-78.987;870.617;123.704;81.233;939.743;-69.565;106.032;949.506
63.268;51.600;1592.290;129.318;-22.114;1534.441;-17.965;-24.507;1554.652;100.809;81.770;1432.022;-21.626;78.499;1454.820;35.002;109.742;1281.516;44.961;111.549;1113.632;97.147;118.481;1194.474;-28.705;125.608;1179.243;33.245;-72.543;1280.882;16.403;-137.715;1087.905;75.179;-111.402;1206.337;-40.763;-97.099;1220.348;191.366;-62.438;1239.142;196.638;17.574;1303.728;206.060;72.494;1237.824;256.830;27.240;1157.275;231.787;46.767;994.028;276.162;-12.302;1006.867;294.664;-40.861;904.643;242.380;-140.302;772.639;269.621;-76.742;758.580;276.895;-104.421;801.198;-140.546;-39.835;1284.836;-126.048;37.248;1325.550;-145.477;90.459;1246.367;-212.748;-36.662;1213.757;-217.630;-117.163;1044.994;-260.980;-107.790;1104.259;-239.354;-112.769;1171.627;-237.499;-173.987;1307.390;-188.583;-218.655;1289.620;-234.325;-198.444;1269.995;132.589;-119.164;868.469;-131.759;-79.036;870.666;123.900;80.501;939.889;-69.321;105.739;949.702
70.005;53.553;1590.826;134.835;-20.992;1532.684;-12.009;-23.091;1556.117;104.080;81.330;1429.385;-17.916;78.353;1454.820;36.613;107.985;1282.004;44.961;110.133;1113.925;97.782;116.382;1194.474;-28.510;123.802;1180.610;35.295;-75.033;1281.223;16.549;-139.472;1088.100;76.400;-113.648;1206.044;-39.298;-99.198;1221.226;193.758;-64.293;1236.994;198.688;15.036;1302.606;207.232;70.932;1237.336;257.075;28.656;1155.566;226.905;52.577;994.370;274.356;-4.394;1004.573;293.834;-22.407;901.421;249.117;-109.401;757.359;271.427;-42.520;752.429;280.556;-74.838;791.190;-136.836;-41.983;1289.425;-122.484;35.539;1328.528;-144.647;88.165;1249.394;-211.576;-41.349;1223.130;-225.929;-129.123;1058.809;-265.569;-117.016;1119.929;-236.278;-113.306;1184.125;-216.361;-154.264;1325.404;-170.179;-201.276;1304.851;-218.216;-184.873;1290.450;132.345;-119.994;868.225;-131.808;-79.475;870.666;123.851;79.524;940.133;-69.321;105.007;949.995
77.035;54.578;1589.557;140.888;-20.357;1530.780;-5.468;-22.456;1557.044;107.985;81.135;1427.286;-13.474;78.157;1455.112;38.810;106.716;1282.395;45.498;109.010;1114.267;98.807;114.917;1194.523;-27.826;122.582;1181.782;38.273;-76.790;1281.614;17.526;-141.035;1088.540;78.548;-115.356;1205.995;-36.857;-100.711;1222.300;197.810;-64.684;1234.749;201.325;13.669;1301.727;208.794;71.128;1237.629;258.100;34.026;1154.981;222.463;63.610;996.030;273.477;9.275;1003.157;292.467;-1.562;899.029;252.095;-81.721;749.695;268.547;-13.181;749.939;280.800;-47.500;785.869;-132.150;-43.301;1294.111;-117.944;34.319;1331.310;-143.085;86.456;1252.470;-209.672;-45.108;1233.382;-231.494;-140.888;1074.236;-268.547;-124.876;1136.283;-233.349;-113.745;1196.720;-200.592;-138.154;1341.318;-157.877;-186.972;1317.056;-206.695;-173.938;1309.587;132.052;-121.019;867.883;-131.857;-80.061;870.861;123.802;78.401;940.182;-69.272;104.226;950.287
